num_taxa	taxa	mom	dad	num_rec_events
1	A0003	PC_N14_ID2	PC_N14_ID2	12	
2	A0004	PC_J48_ID2	PC_J48_ID2	5	
3	A0008	PC_J13_ID1	PC_K60_ID1	32	
4	A0013	PC_N10_ID2	PC_N10_ID2	19	
5	A0014	PC_K60_ID1	PC_K60_ID1	15	
6	A0015	PC_J10_ID1	PC_M15_ID1	23	
7	A0017	PC_L56_ID1	PC_N58_ID1	43	
8	A0020	PC_M59_ID1	PC_L56_ID1	37	
9	A0021	PC_I08_ID1	PC_I08_ID1	9	
10	A0022	PC_N07_ID2	PC_O08_ID2	26	
11	A0024	PC_N07_ID2	PC_N07_ID2	7	
12	A0027	PC_J50_ID1	PC_L10_ID1	221	
13	A0028	PC_J13_ID1	PC_N58_ID1	41	
14	A0030	PC_N58_ID2	PC_N58_ID2	10	
15	A0031	PC_O59_ID2	PC_O59_ID2	11	
16	A0034	PC_K02_ID1	PC_L12_ID1	42	
17	A0035	PC_N10_ID2	PC_J14_ID2	47	
18	A0036	PC_K55_ID2	PC_O59_ID2	43	
19	A0038	PC_N04_ID1	PC_I06_ID1	25	
20	A0039	PC_L12_ID1	PC_J08_ID1	52	
21	A0042	PC_N03_ID2	PC_I50_ID2	39	
22	A0044	PC_N10_ID2	PC_O59_ID2	41	
23	A0045	PC_I08_ID1	PC_I08_ID1	14	
24	A0048	PC_K54_ID1	PC_J51_ID1	31	
25	A0049	PC_O59_ID2	PC_O59_ID2	9	
26	A0051	PC_M05_ID1	PC_M05_ID1	4	
27	A0052	PC_I55_ID2	PC_I55_ID2	10	
28	A0060	PC_N10_ID2	PC_N10_ID2	20	
29	A0061	PC_J12_ID1	PC_L08_ID1	28	
30	A0064	PC_J48_ID2	PC_I50_ID2	35	
31	A0066	PC_N13_ID1	PC_L56_ID1	12321	
32	A0072	PC_L08_ID1	PC_N07_ID1	12283	
33	A0073	PC_M05_ID1	PC_M05_ID1	10547	
34	A0078	PC_I58_ID2	PC_I55_ID2	12278	
35	A0081	PC_I50_ID2	PC_N07_ID2	11748	
36	A0082	PC_I58_ID2	PC_I58_ID2	10316	
37	A0084	PC_J12_ID1	PC_M59_ID1	12341	
38	A0085	PC_M15_ID1	PC_I06_ID1	11743	
39	A0086	PC_N10_ID2	PC_N10_ID2	9934	
40	A0089	PC_J50_ID1	PC_J50_ID1	9153	
41	A0090	PC_I52_ID1	PC_I52_ID1	9844	
42	A0091	PC_O59_ID2	PC_O59_ID2	10106	
43	A0092	PC_K54_ID1	PC_N04_ID1	12109	
44	A0094	PC_L08_ID1	PC_L56_ID1	11950	
45	A0095	PC_K02_ID1	PC_K02_ID1	9429	
46	A0100	PC_K55_ID2	PC_K55_ID2	10533	
47	A0101	PC_N03_ID2	PC_I50_ID2	11592	
48	A0102	PC_L48_ID2	PC_L48_ID2	8770	
49	A0103	PC_I11_ID2	PC_K55_ID2	12434	
50	A0107	PC_I52_ID1	PC_I08_ID1	12023	
51	A0112	PC_M59_ID1	PC_L56_ID1	12341	
52	A0113	PC_L14_ID1	PC_M05_ID1	12139	
53	A0114	PC_N57_ID2	PC_N57_ID2	10204	
54	A0115	PC_I11_ID2	PC_K55_ID2	12407	
55	A0116	PC_L48_ID2	PC_L06_ID2	11362	
56	A0118	PC_M05_ID1	PC_M05_ID1	10578	
57	A0119	PC_L14_ID1	PC_N09_ID1	12554	
58	A0121	PC_I52_ID1	PC_M05_ID1	12332	
59	A0123	PC_M59_ID1	PC_M59_ID1	10118	
60	A0126	PC_N57_ID2	PC_L12_ID2	12239	
61	A0127	PC_M58_ID1	PC_N09_ID1	11889	
62	A0128	PC_I55_ID2	PC_I55_ID2	9684	
63	A0129	PC_N58_ID2	PC_N58_ID2	10065	
64	A0131	PC_K54_ID1	PC_K60_ID1	11508	
65	A0132	PC_I58_ID1	PC_I58_ID1	9922	
66	A0134	PC_J13_ID1	PC_L12_ID1	12513	
67	A0135	PC_N11_ID1	PC_K02_ID1	12507	
68	A0137	PC_J07_ID2	PC_N57_ID2	12427	
69	A0139	PC_J12_ID1	PC_L08_ID1	12300	
70	A0140	PC_N13_ID1	PC_L56_ID1	12426	
71	A0142	PC_J50_ID1	PC_M05_ID1	12579	
72	A0143	PC_I11_ID2	PC_O08_ID2	12096	
73	A0144	PC_N10_ID2	PC_N10_ID2	10389	
74	A0146	PC_N04_ID1	PC_N04_ID1	10365	
75	A0148	PC_N14_ID2	PC_I55_ID2	11725	
76	A0149	PC_K60_ID1	PC_K60_ID1	10071	
77	A0150	PC_J50_ID1	PC_J50_ID1	9877	
78	A0151	PC_J13_ID1	PC_J13_ID1	10439	
79	A0152	PC_I55_ID2	PC_I58_ID2	12417	
80	A0154	PC_N07_ID2	PC_O08_ID2	11962	
81	A0156	PC_N10_ID2	PC_N10_ID2	9985	
82	A0171	PC_I55_ID2	PC_I55_ID2	10489	
83	A0172	PC_J04_ID1	PC_N04_ID1	12196	
84	A0173	PC_L06_ID2	PC_I55_ID2	12184	
85	A0176	PC_I58_ID2	PC_N14_ID2	11484	
86	A0178	PC_I58_ID2	PC_I58_ID2	10264	
87	A0179	PC_I50_ID1	PC_I06_ID1	11618	
88	A0180	PC_J04_ID1	PC_J04_ID1	9836	
89	A0182	PC_I11_ID2	PC_K55_ID2	12395	
90	A0183	PC_I58_ID2	PC_N14_ID2	11901	
91	A0184	PC_O08_ID2	PC_J07_ID2	24	
92	A0186	PC_O08_ID2	PC_I11_ID2	39	
93	A0189	PC_I58_ID1	PC_L48_ID1	78	
94	A0190	PC_N14_ID2	PC_N14_ID2	9	
95	A0191	PC_J07_ID2	PC_J07_ID2	3	
96	A0193	PC_N07_ID1	PC_N13_ID1	38	
97	A0194	PC_N04_ID1	PC_J04_ID1	21	
98	A0195	PC_N13_ID1	PC_N13_ID1	3	
99	A0196	PC_N48_ID1	PC_N48_ID1	8	
100	A0197	PC_O08_ID2	PC_O08_ID2	13	
